_id,DATE,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS
260,2020-05-22T00:00:00,Not Hispanic or Latino,2927,181,13
261,2020-05-22T00:00:00,Unknown,4922,239,3
262,2020-05-23T00:00:00,Hispanic or Latino,95,75,2
263,2020-05-23T00:00:00,Not Hispanic or Latino,1047,128,18
264,2020-05-23T00:00:00,Unknown,1719,270,5
265,2020-05-24T00:00:00,Hispanic or Latino,26,70,1
266,2020-05-24T00:00:00,Not Hispanic or Latino,444,119,9
267,2020-05-24T00:00:00,Unknown,1368,145,5
268,2020-05-25T00:00:00,Hispanic or Latino,32,71,3
269,2020-05-25T00:00:00,Not Hispanic or Latino,694,116,15
270,2020-05-25T00:00:00,Unknown,1090,170,5
271,2020-05-26T00:00:00,Hispanic or Latino,325,57,0
272,2020-05-26T00:00:00,Not Hispanic or Latino,3140,119,11
273,2020-05-26T00:00:00,Unknown,4312,173,10
274,2020-05-27T00:00:00,Hispanic or Latino,285,139,1
275,2020-05-27T00:00:00,Not Hispanic or Latino,2151,234,10
276,2020-05-27T00:00:00,Unknown,3957,218,4
277,2020-05-28T00:00:00,Hispanic or Latino,314,101,0
278,2020-05-28T00:00:00,Not Hispanic or Latino,2715,179,11
279,2020-05-28T00:00:00,Unknown,4048,197,8
280,2020-05-29T00:00:00,Hispanic or Latino,278,93,1
281,2020-05-29T00:00:00,Not Hispanic or Latino,3125,164,20
282,2020-05-29T00:00:00,Unknown,4303,301,1
283,2020-05-30T00:00:00,Hispanic or Latino,88,28,0
284,2020-05-30T00:00:00,Not Hispanic or Latino,1161,104,17
285,2020-05-30T00:00:00,Unknown,1628,207,6
286,2020-05-31T00:00:00,Hispanic or Latino,57,25,0
287,2020-05-31T00:00:00,Not Hispanic or Latino,730,89,6
288,2020-05-31T00:00:00,Unknown,1034,165,11
289,2020-06-01T00:00:00,Hispanic or Latino,322,83,2
290,2020-06-01T00:00:00,Not Hispanic or Latino,3289,140,13
291,2020-06-01T00:00:00,Unknown,4491,189,5
292,2020-06-02T00:00:00,Hispanic or Latino,255,123,2
293,2020-06-02T00:00:00,Not Hispanic or Latino,2211,180,12
294,2020-06-02T00:00:00,Unknown,3218,174,6
295,2020-06-03T00:00:00,Hispanic or Latino,282,105,0
296,2020-06-03T00:00:00,Not Hispanic or Latino,3004,145,18
297,2020-06-03T00:00:00,Unknown,3456,177,10
298,2020-06-04T00:00:00,Hispanic or Latino,249,60,0
299,2020-06-04T00:00:00,Not Hispanic or Latino,2903,152,14
300,2020-06-04T00:00:00,Unknown,3808,288,9
301,2020-06-05T00:00:00,Hispanic or Latino,268,91,2
302,2020-06-05T00:00:00,Not Hispanic or Latino,3500,152,15
303,2020-06-05T00:00:00,Unknown,4136,175,4
304,2020-06-06T00:00:00,Hispanic or Latino,94,55,1
305,2020-06-06T00:00:00,Not Hispanic or Latino,1969,120,3
306,2020-06-06T00:00:00,Unknown,1657,227,6
307,2020-06-07T00:00:00,Hispanic or Latino,43,33,1
308,2020-06-07T00:00:00,Not Hispanic or Latino,791,90,11
309,2020-06-07T00:00:00,Unknown,1166,109,2
310,2020-06-08T00:00:00,Hispanic or Latino,423,51,0
311,2020-06-08T00:00:00,Not Hispanic or Latino,4468,135,11
312,2020-06-08T00:00:00,Unknown,4876,198,5
313,2020-06-09T00:00:00,Hispanic or Latino,224,35,1
314,2020-06-09T00:00:00,Not Hispanic or Latino,2826,132,16
315,2020-06-09T00:00:00,Unknown,3627,138,9
316,2020-06-10T00:00:00,Hispanic or Latino,279,50,3
317,2020-06-10T00:00:00,Not Hispanic or Latino,3726,156,9
318,2020-06-10T00:00:00,Unknown,4048,189,6
319,2020-06-11T00:00:00,Hispanic or Latino,287,88,1
320,2020-06-11T00:00:00,Not Hispanic or Latino,4863,173,4
321,2020-06-11T00:00:00,Unknown,4625,153,10
322,2020-06-12T00:00:00,Hispanic or Latino,248,50,0
323,2020-06-12T00:00:00,Not Hispanic or Latino,4517,144,11
324,2020-06-12T00:00:00,Unknown,5268,211,5
325,2020-06-13T00:00:00,Hispanic or Latino,117,33,0
326,2020-06-13T00:00:00,Not Hispanic or Latino,2711,175,7
327,2020-06-13T00:00:00,Unknown,2076,179,6
328,2020-06-14T00:00:00,Hispanic or Latino,37,41,0
329,2020-06-14T00:00:00,Not Hispanic or Latino,578,120,10
330,2020-06-14T00:00:00,Unknown,1283,162,10
331,2020-06-15T00:00:00,Hispanic or Latino,309,45,0
332,2020-06-15T00:00:00,Not Hispanic or Latino,5485,112,11
333,2020-06-15T00:00:00,Unknown,5569,256,4
334,2020-06-16T00:00:00,Hispanic or Latino,246,31,0
335,2020-06-16T00:00:00,Not Hispanic or Latino,4681,108,8
336,2020-06-16T00:00:00,Unknown,4783,98,7
337,2020-06-17T00:00:00,Hispanic or Latino,384,80,0
338,2020-06-17T00:00:00,Not Hispanic or Latino,5175,184,11
339,2020-06-17T00:00:00,Unknown,4516,283,6
340,2020-06-18T00:00:00,Hispanic or Latino,330,32,1
341,2020-06-18T00:00:00,Not Hispanic or Latino,5362,118,14
342,2020-06-18T00:00:00,Unknown,4358,217,11
343,2020-06-19T00:00:00,Hispanic or Latino,306,58,1
344,2020-06-19T00:00:00,Not Hispanic or Latino,5018,129,8
345,2020-06-19T00:00:00,Unknown,4850,194,2
346,2020-06-20T00:00:00,Hispanic or Latino,117,52,0
347,2020-06-20T00:00:00,Not Hispanic or Latino,1974,167,6
348,2020-06-20T00:00:00,Unknown,2286,151,4
349,2020-06-21T00:00:00,Hispanic or Latino,28,28,0
350,2020-06-21T00:00:00,Not Hispanic or Latino,521,97,8
351,2020-06-21T00:00:00,Unknown,1290,122,4
352,2020-06-22T00:00:00,Hispanic or Latino,261,53,1
353,2020-06-22T00:00:00,Not Hispanic or Latino,4734,93,8
354,2020-06-22T00:00:00,Unknown,5676,157,7
355,2020-06-23T00:00:00,Hispanic or Latino,198,29,0
356,2020-06-23T00:00:00,Not Hispanic or Latino,3640,104,3
357,2020-06-23T00:00:00,Unknown,5786,140,2
358,2020-06-24T00:00:00,Hispanic or Latino,255,43,2
359,2020-06-24T00:00:00,Not Hispanic or Latino,3405,178,4
360,2020-06-24T00:00:00,Unknown,5373,291,4
361,2020-06-25T00:00:00,Hispanic or Latino,291,44,0
362,2020-06-25T00:00:00,Not Hispanic or Latino,3578,185,4
363,2020-06-25T00:00:00,Unknown,5410,214,8
364,2020-06-26T00:00:00,Hispanic or Latino,264,55,0
365,2020-06-26T00:00:00,Not Hispanic or Latino,4040,196,4
366,2020-06-26T00:00:00,Unknown,5491,227,8
367,2020-06-27T00:00:00,Hispanic or Latino,112,46,1
368,2020-06-27T00:00:00,Not Hispanic or Latino,1427,140,7
369,2020-06-27T00:00:00,Unknown,2486,161,4
370,2020-06-28T00:00:00,Hispanic or Latino,147,32,0
371,2020-06-28T00:00:00,Not Hispanic or Latino,986,130,6
372,2020-06-28T00:00:00,Unknown,1828,138,3
373,2020-06-29T00:00:00,Hispanic or Latino,307,23,0
374,2020-06-29T00:00:00,Not Hispanic or Latino,4473,139,3
375,2020-06-29T00:00:00,Unknown,5461,207,5
376,2020-06-30T00:00:00,Hispanic or Latino,262,48,0
377,2020-06-30T00:00:00,Not Hispanic or Latino,3759,131,8
378,2020-06-30T00:00:00,Unknown,4808,176,2
379,2020-07-01T00:00:00,Hispanic or Latino,248,79,1
380,2020-07-01T00:00:00,Not Hispanic or Latino,3128,188,6
381,2020-07-01T00:00:00,Unknown,4536,174,5
382,2020-07-02T00:00:00,Hispanic or Latino,287,57,1
383,2020-07-02T00:00:00,Not Hispanic or Latino,3688,249,5
384,2020-07-02T00:00:00,Unknown,5022,221,3
385,2020-07-03T00:00:00,Hispanic or Latino,78,35,0
